7zip 26.01-1
dkms 3.4.1-1
dolphin 26.04.2-1
double-conversion 3.4.0-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
efibootmgr 18-4
efivar 39-2
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
electron37 37.5.1-1
elfutils 0.195-1
enchant 2.8.15-2
exiv2 0.28.8-2
expat 2.8.1-1
eza 0.23.4-3
faac 1.50-1
faad2 2.11.2-1
fakeroot 1:1.37.2-2
fastfetch 2.64.2-2
fd 10.4.2-2
ffmpeg 2:8.1.1-2
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.10.0-3
flac 1.5.0-1
flatpak 1:1.18.0-1
flex 2.6.4-6
fluidsynth 2.5.5-1
fmt 12.1.0-2
font-manager 0.9.4-3
fontconfig 2:2.18.1-1
freeglut 3.8.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
gamemode 1.8.2-2
gamescope 3.16.24-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gcr-4 4.4.0.1-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gettext 1.0-2
giflib 6.1.3-1
git 2.54.0-1
github-cli 2.94.0-1
gjs 2:1.88.0-1
glew 2.3.1-1
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.88.1-1
glibc 2.43+r22+g8362e8ce10b2-2
glibmm 2.66.8-2
glibmm-2.68 2.88.0-2
glslang 1:1.4.350.0-1
glu 9.0.3-3
glycin 2.1.1-1
gmp 6.3.0-3
gnome-desktop 1:44.5-1
gnome-desktop-common 1:44.5-1
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-2
go 2:1.26.4-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
goverlay 1.8.2-1
gperftools 2.18.1-1
gpgme 2.1.0-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphicsmagick 1.3.47-1
graphite 1:1.3.15-1
greetd 0.10.3-2
greetd-agreety 0.10.3-2
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
grub-btrfs 4.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsl 2.8-1
gsm 1.0.24-1
gspell 1.14.3-1
gssdp 1.6.5-1
gst-plugins-bad 1.28.4-1
gst-plugins-bad-libs 1.28.4-1
gst-plugins-base 1.28.4-1
gst-plugins-base-libs 1.28.4-1
gst-plugins-good 1.28.4-1
gstreamer 1.28.4-1
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gzip 1.14-2
harfbuzz 14.2.1-1
harfbuzz-icu 14.2.1-1
hdf5 2.1.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hwdata 0.408-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-2
hypridle 0.1.7-9
hyprland 0.55.4-1
hyprland-guiutils 0.2.1-6
hyprlang 0.6.8-4
hyprlock 0.9.5-4
hyprpaper 0.8.4-2
hyprpicker 0.4.7-1
hyprshot 1.3.0-4
hyprtoolkit 0.5.4-2
hyprutils 0.13.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-2
iana-etc 20260530-1
icu 78.3-1
imagemagick 7.1.2.25-1
imath 3.2.2-6
imlib2 1.12.6-1
iniparser 4.2.6-2
inkscape 1.4.4-3
inotify-tools 4.25.9.0-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbigkit 2.1-8
jemalloc 1:5.3.1-2
jq 1.8.1-3
jre-openjdk 26.0.1.u8-1
jre17-openjdk 17.0.19.u10-1
js140 140.12.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
karchive 6.27.0-1
kauth 6.27.0-1
kbd 2.10.0-1
kbookmarks 6.27.0-1
kcmutils 6.27.0-1
kcodecs 6.27.0-1
kcolorscheme 6.27.0-1
kcompletion 6.27.0-1
kconfig 6.27.0-1
kconfigwidgets 6.27.0-1
kcoreaddons 6.27.0-1
kcrash 6.27.0-1
kdbusaddons 6.27.0-1
kdnssd 6.27.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-4
kfilemetadata 6.27.0-1
kglobalaccel 6.27.0-1
kguiaddons 6.27.0-1
ki18n 6.27.0-1
kiconthemes 6.27.0-1
kidletime 6.27.0-1
kio 6.27.0-1
kio-extras 26.04.2-1
kirigami 6.27.0-1
kitemviews 6.27.0-1
kjobwidgets 6.27.0-1
kmod 34.2-1
knewstuff 6.27.0-1
knotifications 6.27.0-1
kpackage 6.27.0-1
kparts 6.27.0-1
krb5 1.22.2-1
kservice 6.27.0-1
ktextwidgets 6.27.0-1
kuserfeedback 6.27.0-1
kwallet 6.27.0-1
kwidgetsaddons 6.27.0-1
kwindowsystem 6.27.0-1
kxmlgui 6.27.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
lcms2 2.19.1-1
ldb 2:4.24.3-1
leancrypto 1.7.2-1
less 1:704-1
lib2geom 1.4-3
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.20.0-7
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.1-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.18.1-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.1.1+r12+g301eb08fa2c5-1
lib32-glib2 2.88.1-1
lib32-glibc 2.43+r22+g8362e8ce10b2-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.195-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.69.0-1
lib32-libnghttp3 1.16.0-1
lib32-libngtcp2 1.23.0-1
lib32-libnm 1.56.1-1
lib32-libogg 1.3.6-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.6-1
lib32-libpng 1.6.58-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0+r98+gb096704c0-1
lib32-libsndfile 1.2.2-3
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.22.0-1
lib32-libvorbis 1.3.7-4
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.6-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.1.2-2
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.39-1
lib32-nss 3.125-1
lib32-nvidia-utils 610.43.02-1
lib32-openssl 1:3.6.3-1
lib32-opus 1.6.1-1
lib32-p11-kit 0.26.2-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.6-1
lib32-spirv-tools 1:1.4.350.0-1
lib32-sqlite 3.53.2-1
lib32-systemd 260.2-1
lib32-util-linux 2.42.2-1
lib32-vulkan-icd-loader 1.4.350.0-1
lib32-vulkan-intel 1:26.1.2-2
lib32-vulkan-mesa-implicit-layers 1:26.1.2-2
lib32-vulkan-mesa-layers 1:26.1.2-2
lib32-vulkan-radeon 1:26.1.2-2
lib32-wayland 1.25.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libadwaita 1:1.9.1-1
libaec 1.1.7-1
libarchive 3.8.7-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libass 0.17.4-2
libassuan 3.0.0-1
libastal-4-git r901.d8738f9-1
libastal-4-git-debug r901.d8738f9-1
libastal-apps-git r901.d8738f9-1
libastal-apps-git-debug r901.d8738f9-1
libastal-auth-git r901.d8738f9-1
libastal-auth-git-debug r901.d8738f9-1
libastal-battery-git r901.d8738f9-1
libastal-battery-git-debug r901.d8738f9-1
libastal-bluetooth-git r901.d8738f9-1
libastal-bluetooth-git-debug r901.d8738f9-1
libastal-cava-git r901.d8738f9-1
libastal-cava-git-debug r901.d8738f9-1
libastal-git r901.d8738f9-1
libastal-git-debug r901.d8738f9-1
libastal-gjs-git r901.d8738f9-1
libastal-greetd-git r901.d8738f9-1
libastal-greetd-git-debug r901.d8738f9-1
libastal-hyprland-git r901.d8738f9-1
libastal-hyprland-git-debug r901.d8738f9-1
libastal-io-git r901.d8738f9-1
libastal-io-git-debug r901.d8738f9-1
libastal-meta 1-8
libastal-mpris-git r901.d8738f9-1
libastal-mpris-git-debug r901.d8738f9-1
libastal-network-git r901.d8738f9-1
libastal-network-git-debug r901.d8738f9-1
libastal-notifd-git r901.d8738f9-1
libastal-notifd-git-debug r901.d8738f9-1
libastal-powerprofiles-git r901.d8738f9-1
libastal-powerprofiles-git-debug r901.d8738f9-1
libastal-river-git r901.d8738f9-1
libastal-river-git-debug r901.d8738f9-1
libastal-tray-git r901.d8738f9-1
libastal-tray-git-debug r901.d8738f9-1
libastal-wireplumber-git r901.d8738f9-1
libastal-wireplumber-git-debug r901.d8738f9-1
libastal-wl-git r901.d8738f9-1
libastal-wl-git-debug r901.d8738f9-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r12+g301eb08fa2c5-1
libavc1394 0.5.4-7
libavif 1.4.2-1
libavtp 0.2.0-3
libb2 0.98.1-3
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcava 0.10.7-2
libcava-debug 0.10.7-2
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.9-1
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libdca 0.0.7-3
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libdwarf 1:2.3.1-1
libebml 1.4.5-2
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3
libevdev 1.13.6-1
libevent 2.1.12-5
libfabric 2.5.1-1
libfdk-aac 2.0.3-2
libffi 3.5.2-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-2
libgcc 16.1.1+r12+g301eb08fa2c5-1
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgfortran 16.1.1+r12+g301eb08fa2c5-1
libgirepository 1.86.0-2
libgit2 1:1.9.4-1
libglvnd 1.7.0-3
libgme 0.6.5-1
libgnomekbd 1:3.28.1-2
libgomp 16.1.1+r12+g301eb08fa2c5-1
libgpg-error 1.61-1
libgtop 2.41.3-2
libgudev 238-3
libheif 1.23.0-1
libice 1.1.2-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libisl 0.27-1
libjpeg-turbo 3.1.4.1-1
libjxl 0.11.2-2
libkexiv2 26.04.2-1
libksba 1.8.0-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.13-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsan 16.1.1+r12+g301eb08fa2c5-1
libltc 1.3.2-2
libluv 1.52.1-1
libmakepkg-dropins 20-1
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatroska 1.7.1-2
libmd 1.2.0-1
libmicrodns 0.2.0-2
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpcdec 1:0.1+r475-6
libmtp 1.1.23-1
libmysofa 1.3.4-1
libndp 1.9-1
libnet 2:1.3-2
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.16.0-1
libngtcp2 1.23.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.1-1
libnotify 0.8.8-1
libnsl 2.0.1-2
libnss_nis 3.4-1
libnvme 1.16.2-1
libobjc 16.1.1+r12+g301eb08fa2c5-1
libogg 1.3.6-1
libopenmpt 0.8.7-1
libp11-kit 0.26.2-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.6-1
libplacebo 7.360.1-2
libplist 2.7.0-3
libpng 1.6.58-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libquadmath 16.1.1+r12+g301eb08fa2c5-1
libraqm 0.10.5-1
libratbag 0.18-1
libraw1394 2.1.2-4
librevenge 0.0.5-4
librsvg 2:2.62.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup-debug 2.74.3-4
libsoup3 3.6.6-2
libsoxr 0.1.3-4
libsrtp 1:2.8.0-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstdc++ 16.1.1+r12+g301eb08fa2c5-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-2
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.1-1
libtsan 16.1.1+r12+g301eb08fa2c5-1
libubsan 16.1.1+r12+g301eb08fa2c5-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburing 2.14-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvisio 0.1.11-1
libvlc 3.0.23_2-7
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.0-1
libwbclient 2:4.24.3-1
libwebp 1.6.0-2
libwireplumber 0.5.14-1
libwpd 0.10.3-6
libwpg 0.3.4-3
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.3-1
libxml2-legacy 2.13.9-2
libxmlb 0.3.27-1
libxmu 1.3.1-1
libxnvctrl 610.43.02-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux-api-headers 7.1-1
linux-firmware 20260519-1
linux-firmware-amdgpu 20260519-1
linux-firmware-atheros 20260519-1
linux-firmware-broadcom 20260519-1
linux-firmware-cirrus 20260519-1
linux-firmware-intel 20260519-1
linux-firmware-mediatek 20260519-1
